gene_id,log2FoldChange,pvalue,padj
YDR374C,2.432492,7.326742e-07,8.947729e-06
YDR405W,1.056381,1.049141e-06,1.206315e-05
YDR440W,1.143506,1.101714e-06,1.264377e-05
YDR446W,1.571904,0.0001438867,0.000848013
YDR464W,1.089276,7.52227e-10,1.984447e-08
YDR478W,1.480042,5.942436e-11,2.093249e-09
YDR515W,1.712774,4.28045e-15,3.260633e-13
YDR525W,1.385341,0.004067303,0.01398767
YDR527W,1.215069,3.274419e-06,3.239336e-05
YDR533C,1.762814,9.476502e-07,1.104203e-05
YDR540C,1.306137,3.944443e-06,3.803391e-05
YEL009C-A,1.084263,9.471828e-05,0.000602519
YEL032W,1.159484,7.864312e-06,6.866063e-05
YER006W,1.13796,2.168253e-06,2.273625e-05
YER058W,1.11285,4.539382e-06,4.269301e-05
YER060W-A,3.097422,6.630473000000001e-17,6.73435e-15
YER085C,1.911743,4.710114e-05,0.0003280393
YER095W,1.150231,0.0002071442,0.001142386
YER137C,2.450291,1.171739e-15,1.005715e-13
YER154W,1.47154,3.319519e-11,1.241052e-09
YER163C,1.033177,0.0003139687,0.001628362
YFL014W,3.892052,2.03066e-11,8.223677e-10
YFL040W,2.407459,6.048417999999999e-19,7.678971e-17
YFL060C,2.569376,0.0002570528,0.00137652
YFR017C,1.070344,0.0005656843,0.002693188
YFR019W,1.162683,8.917253e-13,4.76682e-11
YGL010W,1.032103,0.002722149,0.01009141
YGL012W,1.262488,3.207424e-05,0.0002338043
YGL018C,1.129363,0.0003247716,0.0016801
YGL023C,1.152478,1.552797e-05,0.0001227334
YGL037C,1.28167,3.534383e-05,0.0002546188
YGL041C-B,1.385261,3.830879e-05,0.0002733651
YGL050W,1.233698,6.086735e-16,5.454788e-14
YGL057C,1.323692,2.076399e-07,2.963367e-06
YGL061C,1.373928,4.345484e-08,7.587787e-07
YGL075C,2.075759,3.537198e-08,6.396346e-07
YGL081W,1.350305,5.502999e-08,9.315354e-07
YGL090W,1.095468,3.69564e-08,6.62389e-07
YGL099W,1.312094,4.340313e-11,1.593365e-09
YGL108C,1.319686,1.4874e-08,2.886693e-07
YGL128C,1.54129,1.312666e-08,2.597202e-07
YGL136C,1.065755,1.709357e-06,1.830725e-05
YGL143C,1.395283,2.562684e-09,6.017831e-08
YGL158W,1.402305,0.0002647147,0.001413108
YGL163C,1.348834,1.342571e-08,2.64102e-07
YGL170C,6.821617,2.939372e-37,1.3778869999999999e-34
YGL171W,1.362006,4.305627e-08,7.539797e-07
YGL174W,1.356584,1.695141e-07,2.481026e-06
YGL180W,1.495323,1.682039e-16,1.653282e-14
YGL183C,1.569081,1.941416e-05,0.0001499492
YGL204C,5.674005,3.606662e-14,2.481792e-12
YGL207W,1.043242,3.985722e-09,8.705732e-08
YGL208W,1.876531,4.603435e-09,9.91284e-08
YGL209W,2.564794,3.768578e-13,2.126455e-11
YGL210W,1.761225,7.434569e-17,7.427256e-15
YGL216W,1.305374,7.357865e-13,3.968038e-11
YGL249W,1.037312,0.0002901229,0.001525461
YGR001C,1.258074,9.388674e-08,1.474603e-06
YGR009C,1.01576,7.910502e-09,1.634122e-07
YGR017W,1.042742,1.031596e-05,8.683072e-05
YGR032W,1.801711,3.215357e-14,2.252229e-12
YGR033C,1.100876,2.242697e-08,4.257631e-07
YGR043C,1.336391,0.0005133024,0.002480622
YGR047C,1.006767,5.710066e-07,7.174669e-06
YGR048W,1.092502,6.496113e-09,1.37893e-07
YGR072W,1.169878,5.905488e-10,1.606609e-08
YGR079W,1.480518,2.214887e-05,0.0001664306
YGR083C,1.110764,7.687194e-08,1.232783e-06
YGR088W,1.099844,0.0001525808,0.0008880876
YGR093W,1.138216,5.427468e-08,9.238824e-07
YGR102C,1.367679,1.660077e-09,4.079237e-08
YGR112W,1.492304,1.003806e-07,1.558621e-06
YGR145W,1.182994,8.891528e-06,7.599575e-05
YGR152C,1.017912,1.612497e-05,0.0001267942
YGR153W,1.521921,9.792296e-08,1.530109e-06
YGR159C,1.422833,3.113415e-06,3.095131e-05
YGR174C,1.972231,2.060913e-10,6.1868e-09
YGR179C,1.237118,1.49621e-06,1.636967e-05
YGR181W,2.006616,3.837064e-06,3.717499e-05
