gene_id,log2FoldChange,pvalue,padj
YLR401C,1.864114,1.561904e-09,1.521837e-08
YLR406C,1.869389,1.233579e-11,1.885444e-10
YLR419W,1.149223,6.24972e-10,6.629092e-09
YLR430W,1.902728,1.854142e-21,2.081881e-19
YLR432W,1.674802,7.205808e-09,6.269745e-08
YLR435W,1.057042,0.0001250844,0.0004586187
YLR438C-A,1.138847,0.000252963,0.0008621946
YLR441C,1.071268,0.001031715,0.003033922
YLR442C,1.451301,7.347162999999999e-19,5.41896e-17
YLR448W,2.240562,6.954464e-11,8.984148e-10
YLR449W,2.019595,5.219402e-16,1.994377e-14
YLR455W,1.554578,3.380323e-13,6.938961e-12
YML012W,1.16005,2.875406e-11,4.071138e-10
YML015C,1.103137,7.727782e-08,5.513759e-07
YML018C,1.024952,0.007383949,0.01714363
YML045W,20.49698,3.27447e-08,2.511483e-07
YML049C,1.017846,2.627217e-08,2.064986e-07
YML056C,1.158492,0.008018691,0.01848203
YML060W,1.043821,0.001322269,0.00379853
YML071C,1.085865,1.105848e-08,9.36501e-08
YML072C,1.192638,4.498846e-13,9.059105e-12
YML073C,1.24565,2.032609e-06,1.111452e-05
YML074C,1.255661,1.30038e-10,1.550152e-09
YML081C-A,1.026601,0.01436955,0.03096088
YML093W,1.989722,7.340626e-11,9.33098e-10
YML094W,1.301823,2.13361e-05,9.417875e-05
YML097C,1.549287,5.278942e-17,2.415453e-15
YML098W,1.357189,2.914293e-10,3.271746e-09
YML102W,1.03354,0.0005795275,0.001820474
YML106W,1.88847,1.268654e-10,1.518316e-09
YML109W,1.920422,6.289786999999999e-19,4.749538e-17
YML114C,1.493128,1.3592e-17,7.36872e-16
YML124C,1.142362,5.759149e-05,0.0002293175
YML130C,1.006796,1.659194e-05,7.474622e-05
YMR005W,1.452354,2.203236e-12,3.88198e-11
YMR014W,1.91297,3.296591e-12,5.605972e-11
YMR048W,1.688063,2.443342e-05,0.0001058615
YMR049C,2.016111,6.391217e-12,1.028921e-10
YMR076C,2.260513,2.616483e-13,5.513738e-12
YMR101C,2.749976,1.002026e-14,2.902216e-13
YMR117C,1.520361,3.165556e-06,1.664936e-05
YMR118C,1.191715,0.01408408,0.03045869
YMR124W,1.309805,8.753731e-13,1.67749e-11
YMR127C,2.174791,5.105488e-10,5.563856e-09
YMR128W,1.954502,3.601239e-13,7.321365e-12
YMR131C,1.750557,1.031399e-07,7.20503e-07
YMR142C,1.381918,1.854959e-09,1.785433e-08
YMR144W,1.475182,1.12166e-05,5.277961e-05
YMR146C,1.393559,1.383374e-06,7.737865e-06
YMR177W,1.363842,7.697105e-08,5.498056e-07
YMR179W,1.026439,0.0004638246,0.001495699
YMR183C,1.291052,1.48858e-11,2.248111e-10
YMR184W,1.309527,1.417359e-07,9.625597e-07
YMR185W,1.392862,1.88155e-11,2.775505e-10
YMR186W,1.681711,1.164116e-24,1.9431550000000002e-22
YMR190C,1.260156,8.396338e-10,8.645775e-09
YMR192W,1.18704,2.972372e-13,6.201893e-12
YMR194W,1.266784,0.01074295,0.02385942
YMR207C,1.16853,1.93501e-09,1.851247e-08
YMR214W,1.867736,2.165971e-13,4.625843e-12
YMR215W,1.405284,3.001678e-05,0.0001282131
YMR216C,1.097983,1.713695e-09,1.659537e-08
YMR217W,1.565989,4.549004e-07,2.790613e-06
YMR226C,1.112421,0.003536099,0.008978974
YMR227C,1.091858,1.666927e-08,1.367829e-07
YMR229C,1.941379,2.329969e-14,6.288932e-13
YMR230W,1.021522,0.01817763,0.03779112
YMR230W-A,1.438844,0.0001442958,0.0005204141
YMR236W,1.303143,0.001802367,0.005003243
YMR239C,1.021601,0.0001086506,0.0004052224
YMR273C,1.599541,5.933512e-16,2.213898e-14
YMR276W,1.329555,2.647567e-06,1.414787e-05
YMR277W,1.797581,1.654235e-11,2.468897e-10
YMR289W,1.489546,2.980182e-07,1.903655e-06
YMR290C,2.154367,1.203798e-13,2.756567e-12
YMR295C,1.440771,7.997481e-14,1.914265e-12
YMR296C,1.237503,1.535914e-05,6.988738e-05
YNCC0005W,1.641107,0.00314736,0.008125235
YNCD0004W,6.811224,0.0002615574,0.0008876718
YNCE0011C,2.726382,9.798943e-07,5.635058e-06
YNCG0034W,1.073228,0.006812612,0.01596321
YNCG0039W,3.158517,0.001087686,0.003177208
YNCG0044C,2.256294,1.388303e-05,6.385791e-05
YNCG0047C,1.543484,0.002439759,0.006508626
YNCG0048W,1.035535,0.002587742,0.006842037
YNCJ0017C,2.037925,0.002191184,0.005921893
YNCK0008W,1.114956,0.006327422,0.01494664
YNCN0011W,4.07424,0.0007142488,0.00218547
YNCP0007C,14.0039,3.573443e-05,0.0001499097
YNL002C,1.962508,9.057631e-14,2.151781e-12
YNL058C,2.988606,7.162523e-32,3.4947600000000003e-29
YNL059C,1.003652,4.166571e-08,3.135061e-07
YNL061W,1.768324,2.592341e-08,2.045176e-07
YNL068C,1.287092,1.396061e-09,1.379317e-08
YNL069C,1.919924,4.318399e-10,4.747245e-09
YNL079C,1.17861,7.217593e-11,9.19301e-10
YNL082W,1.137033,7.438748e-06,3.610098e-05
YNL087W,1.249766,1.016449e-12,1.913155e-11
YNL088W,2.053209,1.495113e-32,8.621366e-30
YNL091W,1.013571,2.26745e-09,2.149841e-08
YNL102W,1.754863,1.514661e-07,1.024253e-06
YNL103W,1.336511,2.31875e-10,2.640833e-09
YNL110C,1.40135,8.142939e-06,3.924823e-05
YNL113W,2.539928,3.139394e-12,5.353004e-11
YNL132W,1.489667,9.077174e-09,7.791139e-08
YNL141W,1.131447,0.01128195,0.02490681
YNL143C,1.188333,0.0108102,0.02398359
YNL146C-A,1.634846,0.004485755,0.01104548
YNL149C,1.264555,6.803776e-07,4.007089e-06
YNL151C,2.056568,1.098157e-13,2.551506e-12
YNL154C,1.509341,2.481496e-12,4.325563e-11
YNL175C,2.173185,2.758376e-11,3.940626e-10
YNL178W,1.405277,0.0007152987,0.002187628
YNL186W,1.217892,1.42172e-08,1.183921e-07
YNL204C,1.398703,0.0001322106,0.000481684
YNL207W,1.067026,0.01007577,0.02258326
YNL209W,1.343981,0.00157938,0.004434708
YNL227C,1.997252,1.025146e-24,1.8062510000000002e-22
YNL232W,1.739779,1.230865e-12,2.296287e-11
YNL233W,1.173595,1.02775e-07,7.187448e-07
YNL247W,1.370495,5.195598e-09,4.660368e-08
YNL248C,1.560395,1.146956e-07,7.933636e-07
YNL254C,1.38522,6.321759e-12,1.020329e-10
YNL262W,1.73728,3.600959e-13,7.321365e-12
YNL269W,1.467529,0.007312206,0.01700195
YNL270C,1.33108,0.001017822,0.002997236
YNL273W,1.191414,3.37945e-09,3.112214e-08
YNL274C,1.058544,0.001204382,0.003486512
YNL290W,1.107718,0.0001386105,0.0005033858
YNL292W,1.009096,0.0001819862,0.0006427273
YNL294C,1.004083,1.798838e-07,1.201056e-06
YNL299W,1.510557,6.70537e-07,3.95648e-06
YNL308C,1.529667,1.347954e-06,7.566437e-06
YNR012W,1.372059,4.553493e-08,3.386026e-07
YNR017W,1.033251,0.0004760526,0.001530462
YNR022C,1.020852,5.076622e-12,8.320675e-11
YNR024W,1.027588,7.848558e-07,4.596806e-06
YNR030W,1.663562,2.974424e-18,1.849683e-16
YNR038W,1.904634,1.38673e-12,2.571939e-11
YNR046W,1.138646,0.01698692,0.03562535
YNR051C,1.580448,1.707919e-13,3.748557e-12
YNR053C,1.153908,7.551616e-05,0.0002913619
YNR054C,1.95949,5.051577e-12,8.301076e-11
YNR065C,1.24377,2.990685e-06,1.580826e-05
YOL006C,1.474891,5.306107e-11,7.097103e-10
YOL010W,1.179289,0.000140299,0.0005082335
YOL019W,1.25936,3.456531e-05,0.0001456796
YOL022C,1.501323,1.420579e-13,3.195295e-12
YOL029C,1.564295,3.993223e-06,2.047616e-05
YOL034W,1.519154,1.218751e-15,4.133976e-14
YOL036W,1.271693,1.375692e-10,1.624956e-09
YOL038W,1.040051,6.529319e-06,3.222994e-05
YOL039W,1.546958,1.751356e-06,9.668279e-06
YOL040C,2.131694,3.907997e-06,2.013682e-05
YOL041C,1.997016,1.118858e-15,3.878095e-14
YOL052C-A,1.914671,0.0005566003,0.00175735
YOL066C,1.35693,9.697085e-05,0.00036547
YOL070C,1.445117,9.681409e-13,1.83311e-11
YOL071W,1.041948,0.0001509779,0.0005413528
YOL077C,1.820688,1.067897e-09,1.075185e-08
YOL091W,1.422599,1.985082e-05,8.805156e-05
YOL093W,1.538518,5.821101e-08,4.234317e-07
YOL112W,1.172191,1.060282e-09,1.070919e-08
YOL125W,1.359927,3.347424e-07,2.114812e-06
YOL139C,1.295033,0.0008173811,0.002473592
YOL144W,1.802837,2.6949e-11,3.867365e-10
YOL145C,1.151108,1.521395e-10,1.790392e-09
YOR003W,1.196258,2.814512e-05,0.0001206247
YOR004W,1.846697,7.637892e-11,9.650827e-10
YOR017W,1.543211,7.307932e-24,1.0300939999999999e-21
YOR020C,2.163178,5.382827e-09,4.808912e-08
YOR027W,1.725574,3.926141e-16,1.527823e-14
YOR048C,1.235219,4.187495e-08,3.145219e-07
YOR056C,1.678745,2.906485e-14,7.713738e-13
YOR064C,1.162947,3.941696e-07,2.463268e-06
YOR073W,1.83121,4.017222e-11,5.468078e-10
YOR078W,2.098162,2.5403e-15,7.89859e-14
YOR091W,2.402014,7.872074999999999e-19,5.610401000000001e-17
YOR094W,1.079471,7.760546e-07,4.553667e-06
YOR104W,1.356985,3.930107e-10,4.350553e-09
YOR119C,1.671822,8.277158e-09,7.162621e-08
YOR127W,2.119137,8.237656e-37,8.708575e-34
YOR132W,1.018119,3.185683e-06,1.672747e-05
YOR145C,1.499838,5.176866e-10,5.62275e-09
YOR167C,1.156903,0.02535618,0.05080991
YOR168W,1.13046,2.047256e-12,3.657957e-11
YOR177C,1.23301,3.655019e-05,0.0001530283
YOR182C,1.295207,0.00521075,0.01259596
YOR188W,1.595121,1.469163e-14,4.123407e-13
YOR195W,1.297027,6.497625e-08,4.688787e-07
YOR198C,1.298536,9.778636e-14,2.305795e-12
YOR206W,1.622935,1.061098e-08,9.010102e-08
YOR210W,1.109304,5.10998e-05,0.000205273
YOR216C,1.061116,3.47337e-07,2.187844e-06
YOR217W,1.139226,1.509118e-06,8.404159e-06
YOR236W,1.06225,0.0042442,0.01053246
YOR239W,1.41001,1.751212e-13,3.830324e-12
YOR242C,2.679159,7.904644e-14,1.89921e-12
YOR244W,1.041925,1.383268e-05,6.370521e-05
YOR245C,1.001329,1.30589e-07,8.945208e-07
YOR247W,1.326022,0.003930344,0.009853824
YOR260W,1.129861,2.673285e-07,1.717998e-06
YOR262W,1.315639,1.439697e-08,1.195288e-07
YOR265W,1.228007,1.352711e-08,1.12898e-07
YOR272W,1.38215,5.515033e-07,3.322113e-06
YOR281C,1.219884,6.102143e-05,0.0002416098
YOR283W,1.14253,0.001343064,0.003849551
YOR290C,1.391083,6.871489e-17,3.069426e-15
YOR294W,1.506814,8.962061e-07,5.181983e-06
YOR298W,1.147133,0.000130459,0.000476397
YOR303W,1.147257,1.926522e-05,8.587441e-05
YOR304W,1.041799,7.828299e-12,1.238277e-10
YOR305W,1.133502,3.110213e-07,1.980731e-06
YOR306C,1.434963,3.722868e-08,2.828042e-07
YOR308C,1.222806,2.604256e-08,2.052024e-07
YOR310C,2.081396,4.737903e-12,7.84661e-11
YOR312C,1.054408,0.04231136,0.07952028
YOR323C,1.342022,0.0001266726,0.0004641735
YOR326W,1.607413,5.219353e-18,2.982555e-16
YOR337W,1.403059,7.625612e-06,3.692309e-05
YOR340C,1.396876,6.010968e-07,3.580054e-06
YOR341W,1.324386,2.95802e-08,2.305003e-07
YOR346W,1.281274,2.329526e-07,1.52489e-06
YOR355W,2.185479,4.003223e-18,2.351152e-16
YOR362C,1.076182,2.679092e-09,2.517553e-08
YPL009C,1.555793,3.683639e-21,3.89422e-19
YPL012W,1.778394,2.86425e-11,4.064415e-10
YPL037C,1.483779,0.0003161405,0.001050434
YPL043W,1.675417,1.639259e-09,1.594758e-08
YPL071C,1.052499,0.003511752,0.008927872
YPL072W,1.017345,8.334972e-05,0.0003177207
YPL082C,1.638073,7.646202999999999e-19,5.574697000000001e-17
YPL085W,1.374322,2.416717e-15,7.551349e-14
YPL086C,1.206383,7.545882e-05,0.0002913179
YPL093W,2.161879,2.844273e-11,4.045118e-10
YPL104W,1.214393,6.67094e-07,3.93983e-06
YPL105C,1.158185,9.671816e-11,1.185435e-09
YPL106C,1.493386,1.690384e-18,1.105372e-16
YPL110C,1.330994,4.922192e-16,1.89221e-14
YPL127C,1.488406,1.953881e-09,1.866486e-08
YPL131W,1.809436,7.221568e-06,3.526282e-05
YPL141C,1.628259,3.634374e-15,1.097754e-13
YPL143W,1.663012,1.039201e-05,4.922817e-05
YPL145C,1.676163,1.031606e-14,2.974307e-13
YPL146C,1.194577,2.015936e-06,1.104238e-05
YPL159C,1.010969,6.982493e-05,0.0002722185
